model1,model2,structure,trial,success,turns,total_actions,failed_actions,success_rate,time_seconds,agent1_actions,agent2_actions,chat_messages
gemini-2.5-flash,gemini-2.5-flash,bridge.xml,1,False,30,20,0,1.0,91.63882112503052,10,10,0
gemini-2.5-flash,gemini-2.5-flash,bridge.xml,2,False,30,30,0,1.0,111.14954805374146,15,15,2
gemini-2.5-flash,gemini-2.5-flash,bridge.xml,3,False,30,30,7,0.7666666666666667,193.0997712612152,15,8,2
gemini-2.5-flash,gemini-2.5-flash,bridge.xml,4,False,30,30,0,1.0,123.12414503097534,15,15,2
gemini-2.5-flash,gemini-2.5-flash,bridge.xml,5,False,30,30,0,1.0,113.75399112701416,15,15,6
gemini-2.5-flash,gemini-2.5-flash,bridge.xml,6,False,30,16,0,1.0,68.70394682884216,8,8,4
gemini-2.5-flash,gemini-2.5-flash,bridge.xml,7,True,18,18,0,1.0,80.87340712547302,9,9,4
gemini-2.5-flash,gemini-2.5-flash,bridge.xml,8,False,30,30,0,1.0,143.00226187705994,15,15,0
gemini-2.5-flash,gemini-2.5-flash,bridge.xml,9,False,30,29,0,1.0,104.46725416183472,15,14,8
gemini-2.5-flash,gemini-2.5-flash,bridge.xml,10,False,30,23,0,1.0,90.7611517906189,12,10,0
gemini-2.5-flash,gemini-2.5-flash-lite,bridge.xml,1,True,12,12,1,0.9166666666666666,40.71450996398926,6,5,0
gemini-2.5-flash,gemini-2.5-flash-lite,bridge.xml,2,False,30,25,1,0.96,66.99509811401367,13,11,0
gemini-2.5-flash,gemini-2.5-flash-lite,bridge.xml,3,False,30,30,1,0.9666666666666667,115.97572565078735,15,14,0
gemini-2.5-flash,gemini-2.5-flash-lite,bridge.xml,4,False,30,19,0,1.0,60.45851683616638,10,9,6
gemini-2.5-flash,gemini-2.5-flash-lite,bridge.xml,5,False,30,15,1,0.9333333333333333,43.92905592918396,8,6,0
gemini-2.5-flash,gemini-2.5-flash-lite,bridge.xml,6,False,30,27,1,0.9629629629629629,81.67027401924133,14,12,2
gemini-2.5-flash,gemini-2.5-flash-lite,bridge.xml,7,False,30,30,1,0.9666666666666667,104.56527996063232,15,13,0
gemini-2.5-flash,gemini-2.5-flash-lite,bridge.xml,8,False,30,21,1,0.9523809523809523,63.629754304885864,11,9,0
gemini-2.5-flash,gemini-2.5-flash-lite,bridge.xml,9,False,30,30,1,0.9666666666666667,125.50219297409058,15,13,16
gemini-2.5-flash,gemini-2.5-flash-lite,bridge.xml,10,True,16,16,1,0.9375,44.547852993011475,8,7,8
gemini-2.5-flash-lite,gemini-2.5-flash-lite,bridge.xml,1,False,30,24,2,0.9166666666666666,45.701961278915405,12,10,0
gemini-2.5-flash-lite,gemini-2.5-flash-lite,bridge.xml,2,False,30,30,1,0.9666666666666667,60.1392707824707,15,14,0
gemini-2.5-flash-lite,gemini-2.5-flash-lite,bridge.xml,3,False,30,20,1,0.95,38.303847312927246,10,9,0
gemini-2.5-flash-lite,gemini-2.5-flash-lite,bridge.xml,4,False,30,20,1,0.95,40.4745569229126,10,9,0
gemini-2.5-flash-lite,gemini-2.5-flash-lite,bridge.xml,5,False,30,30,0,1.0,63.35547995567322,15,15,0
gemini-2.5-flash-lite,gemini-2.5-flash-lite,bridge.xml,6,False,30,14,1,0.9285714285714286,27.22517490386963,7,6,0
gemini-2.5-flash-lite,gemini-2.5-flash-lite,bridge.xml,7,False,30,30,4,0.8666666666666667,61.3153657913208,14,12,2
gemini-2.5-flash-lite,gemini-2.5-flash-lite,bridge.xml,8,False,30,20,1,0.95,38.234955072402954,10,9,0
gemini-2.5-flash-lite,gemini-2.5-flash-lite,bridge.xml,9,False,30,30,0,1.0,65.05066967010498,15,14,0
gemini-2.5-flash-lite,gemini-2.5-flash-lite,bridge.xml,10,False,30,30,1,0.9666666666666667,64.06657576560974,15,14,0
