model1,model2,structure,trial,success,turns,total_actions,failed_actions,success_rate,time_seconds,agent1_actions,agent2_actions,chat_messages
gemini-2.5-flash,gemini-2.5-flash,simple_l.xml,1,True,4,4,0,1.0,10.63898229598999,2,2,0
gemini-2.5-flash,gemini-2.5-flash,simple_l.xml,2,True,4,4,0,1.0,10.233447074890137,2,2,0
gemini-2.5-flash,gemini-2.5-flash,simple_l.xml,3,True,4,4,0,1.0,9.813143968582153,2,2,0
gemini-2.5-flash,gemini-2.5-flash,simple_l.xml,4,True,4,4,0,1.0,9.563600063323975,2,2,0
gemini-2.5-flash,gemini-2.5-flash-lite,simple_l.xml,1,True,4,4,0,1.0,8.60960578918457,2,2,0
gemini-2.5-flash,gemini-2.5-flash-lite,simple_l.xml,2,True,4,4,0,1.0,8.4652841091156,2,2,0
gemini-2.5-flash,gemini-2.5-flash-lite,simple_l.xml,3,True,4,4,0,1.0,8.636996030807495,2,2,0
gemini-2.5-flash,gemini-2.5-flash-lite,simple_l.xml,4,True,4,4,0,1.0,8.843764066696167,2,2,0
gemini-2.5-flash-lite,gemini-2.5-flash-lite,simple_l.xml,1,True,4,4,0,1.0,7.624124050140381,2,2,0
gemini-2.5-flash-lite,gemini-2.5-flash-lite,simple_l.xml,2,True,4,4,0,1.0,7.500037908554077,2,2,0
gemini-2.5-flash-lite,gemini-2.5-flash-lite,simple_l.xml,3,True,4,4,0,1.0,7.514723062515259,2,2,2
gemini-2.5-flash-lite,gemini-2.5-flash-lite,simple_l.xml,4,True,4,4,0,1.0,7.266207933425903,2,2,0
gemini-2.5-flash,gemini-2.5-flash,bridge.xml,1,True,16,16,0,1.0,45.427141189575195,8,8,0
gemini-2.5-flash,gemini-2.5-flash,bridge.xml,2,False,30,0,0,0.0,8.436284065246582,0,0,0
gemini-2.5-flash,gemini-2.5-flash,bridge.xml,3,False,30,23,0,1.0,59.89644384384155,12,10,0
gemini-2.5-flash,gemini-2.5-flash,bridge.xml,4,True,16,16,0,1.0,46.73714900016785,8,8,4
gemini-2.5-flash,gemini-2.5-flash-lite,bridge.xml,1,False,30,14,1,0.9285714285714286,33.105496644973755,7,6,0
gemini-2.5-flash,gemini-2.5-flash-lite,bridge.xml,2,False,30,20,1,0.95,46.529216051101685,10,9,4
gemini-2.5-flash,gemini-2.5-flash-lite,bridge.xml,3,False,30,29,1,0.9655172413793104,72.22609186172485,15,13,0
gemini-2.5-flash,gemini-2.5-flash-lite,bridge.xml,4,False,30,30,1,0.9666666666666667,68.33319997787476,15,13,10
gemini-2.5-flash-lite,gemini-2.5-flash-lite,bridge.xml,1,False,30,25,1,0.96,48.47018313407898,13,10,0
gemini-2.5-flash-lite,gemini-2.5-flash-lite,bridge.xml,2,False,30,30,0,1.0,62.08153200149536,15,15,0
gemini-2.5-flash-lite,gemini-2.5-flash-lite,bridge.xml,3,False,30,25,1,0.96,47.42928194999695,13,10,0
gemini-2.5-flash-lite,gemini-2.5-flash-lite,bridge.xml,4,False,30,25,1,0.96,50.229291915893555,13,10,0
gemini-2.5-flash,gemini-2.5-flash,house.xml,1,False,30,0,0,0.0,14.06567931175232,0,0,0
gemini-2.5-flash,gemini-2.5-flash,house.xml,2,False,30,0,0,0.0,27.431886196136475,0,0,0
gemini-2.5-flash,gemini-2.5-flash,house.xml,3,False,30,0,0,0.0,16.583806037902832,0,0,0
gemini-2.5-flash,gemini-2.5-flash,house.xml,4,False,30,0,0,0.0,16.17077898979187,0,0,0
gemini-2.5-flash,gemini-2.5-flash-lite,house.xml,1,False,30,0,0,0.0,42.07862591743469,0,0,0
gemini-2.5-flash,gemini-2.5-flash-lite,house.xml,2,False,30,30,1,0.9666666666666667,65.9336609840393,15,14,0
gemini-2.5-flash,gemini-2.5-flash-lite,house.xml,3,False,30,30,2,0.9333333333333333,68.33820414543152,15,13,16
gemini-2.5-flash,gemini-2.5-flash-lite,house.xml,4,False,30,30,0,1.0,67.61529493331909,15,15,10
gemini-2.5-flash-lite,gemini-2.5-flash-lite,house.xml,1,False,30,30,4,0.8666666666666667,60.115427017211914,15,11,0
gemini-2.5-flash-lite,gemini-2.5-flash-lite,house.xml,2,False,30,30,4,0.8666666666666667,60.684767961502075,13,13,0
gemini-2.5-flash-lite,gemini-2.5-flash-lite,house.xml,3,False,30,30,3,0.9,60.15111804008484,12,15,0
gemini-2.5-flash-lite,gemini-2.5-flash-lite,house.xml,4,False,30,30,2,0.9333333333333333,63.9330530166626,13,15,0
