model1,model2,structure,trial,success,turns,total_actions,failed_actions,success_rate,time_seconds,agent1_actions,agent2_actions,chat_messages
gemini-2.5-flash,gemini-2.5-flash,bridge.xml,1,False,30,27,0,1.0,113.45997428894043,14,13,6
gemini-2.5-flash,gemini-2.5-flash,bridge.xml,2,False,30,29,0,1.0,110.21728086471558,15,14,4
gemini-2.5-flash,gemini-2.5-flash,bridge.xml,3,False,30,30,0,1.0,135.39916586875916,15,15,0
gemini-2.5-flash,gemini-2.5-flash,bridge.xml,4,False,30,30,0,1.0,121.07587814331055,15,15,0
gemini-2.5-flash,gemini-2.5-flash,bridge.xml,5,False,30,14,0,1.0,55.85250425338745,7,7,0
gemini-2.5-flash,gemini-2.5-flash-lite,bridge.xml,1,False,30,15,1,0.9333333333333333,48.38582921028137,8,6,4
gemini-2.5-flash,gemini-2.5-flash-lite,bridge.xml,2,False,30,30,1,0.9666666666666667,94.7402732372284,15,14,2
gemini-2.5-flash,gemini-2.5-flash-lite,bridge.xml,3,False,30,28,1,0.9642857142857143,100.1923930644989,14,13,40
gemini-2.5-flash,gemini-2.5-flash-lite,bridge.xml,4,False,30,30,1,0.9666666666666667,120.14375591278076,15,14,0
gemini-2.5-flash,gemini-2.5-flash-lite,bridge.xml,5,False,30,22,2,0.9090909090909091,76.99938321113586,11,9,0
gemini-2.5-flash-lite,gemini-2.5-flash-lite,bridge.xml,1,False,30,27,1,0.9629629629629629,56.69648313522339,14,11,0
gemini-2.5-flash-lite,gemini-2.5-flash-lite,bridge.xml,2,False,30,14,1,0.9285714285714286,27.702985286712646,7,6,0
gemini-2.5-flash-lite,gemini-2.5-flash-lite,bridge.xml,3,False,30,16,1,0.9375,30.654203176498413,8,7,0
gemini-2.5-flash-lite,gemini-2.5-flash-lite,bridge.xml,4,False,30,30,0,1.0,62.80307102203369,15,14,4
gemini-2.5-flash-lite,gemini-2.5-flash-lite,bridge.xml,5,False,30,30,4,0.8666666666666667,60.962013959884644,15,11,0
